user,messages,degree,betweenness,closeness,pagerank,in_degree,out_degree
Alexandr,5,0.023076923076923078,5.9630292188431724e-05,0.09859843546284223,0.006266852442700407,2,1
Valeratal,9,0.038461538461538464,0.0001191659331194215,0.15937829293993677,0.005766744591553282,3,2
Ваивода Кекзог,5,0.046153846153846156,0.0024597495527728087,0.1541008660213958,0.005595630723085693,3,3
Dmitry Polikarpov,2,0.023076923076923078,0.0032796660703637453,0.16047745358090185,0.0055455199463808206,2,1
Георгий Яковлев,9,0.07692307692307693,0.011933716471660168,0.16159188034188032,0.005336298050734117,3,7
✏️Aleksandr Stavrov,1,0.007692307692307693,0.0,0.11009827177228058,0.004963837291313888,1,0
Аркадий,2,0.023076923076923078,0.0,0.16740453790813503,0.004923524011830195,2,1
Elena,2,0.015384615384615385,0.0,0.15829408686551544,0.0048484684039103425,1,1
Reputation bot,2,0.015384615384615385,0.0,0.13943975100044464,0.0045242037491262386,2,0
Надя,2,0.015384615384615385,0.0,0.015384615384615385,0.004340002757347606,2,0
Klara Chalenko,1,0.007692307692307693,0.0,0.010256410256410256,0.004306119075311084,1,0
dev null,2,0.03076923076923077,0.0,0.15722453222453223,0.004290015219831813,2,2
Ang,2,0.023076923076923078,5.797389518319751e-05,0.1510989010989011,0.004154934875171577,2,1
Roman L,1,0.015384615384615385,0.0,0.131464580617123,0.0034740692330281217,1,1
Влад,2,0.015384615384615385,0.0,0.14916173570019725,0.00343621371015497,1,1
Stanislav Sergeev,2,0.015384615384615385,0.0,0.14916173570019725,0.00343621371015497,1,1
Варя Чернова (Лесных),2,0.023076923076923078,3.975352812562115e-05,0.13221153846153846,0.003349027506290344,2,1
Kate Zastrogina,2,0.015384615384615385,0.0,0.015384615384615385,0.0033429754059994656,2,0
Sasha Sheblanov,1,0.007692307692307693,0.0,0.010256410256410256,0.0033090917239629444,1,0
Ильдар Хабриялов,1,0.015384615384615385,0.0,0.1463473633284954,0.0032869357681927953,1,1
Anton Piterskiy,1,0.007692307692307693,0.0,0.14983277591973246,0.0032869357681927953,1,0
Leonid,2,0.015384615384615385,1.9876764062810574e-05,0.14188555347091933,0.003280671745068307,1,1
M Z,2,0.023076923076923078,0.0,0.1401760889712697,0.003280671745068307,1,2
Igor Tk,1,0.007692307692307693,0.0,0.09727047146401985,0.003215345933468273,1,0
Евгений,2,0.007692307692307693,0.0,0.09727047146401985,0.003215345933468273,1,0
Sergey Elis,2,0.023076923076923078,0.0,0.13850732600732601,0.0031197826850482228,2,1
Maksim DA,3,0.023076923076923078,0.0033392963625521765,0.1419004524886878,0.0031197826850482228,2,1
А Б,8,0.05384615384615385,0.00033442655535678793,0.12785291631445478,0.0031127614795461852,2,5
Катерина Смурова,1,0.007692307692307693,0.0,0.1410706252811516,0.0030858990030117016,1,0
Victoria,1,0.007692307692307693,0.0,0.1176735459662289,0.0030538861806004517,1,0
Olga Averyanova,1,0.007692307692307693,0.0,0.12061538461538464,0.002879070626421746,1,0
i am,1,0.007692307692307693,0.0,0.12061538461538464,0.002879070626421746,1,0
Olga Alexeeva,3,0.007692307692307693,0.0,0.007692307692307693,0.002413715418724369,1,0
Polina Vasilieva,2,0.007692307692307693,0.0,0.007692307692307693,0.0023798317366878472,1,0
Anastasia,2,0.015384615384615385,2.9815146094215862e-05,0.007692307692307693,0.0023798317366878472,1,1
Aleksandr,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Максим Янчиков,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Илья Пушин,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Farida Hamzina,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Ксения Аджич,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Diana Butova,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Мария Беляева,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Елена,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Anton,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Яша,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
@Ali J,1,0.015384615384615385,1.8220367057576362e-05,0.007692307692307693,0.0023459480546513256,1,1
Дарья Мишустина,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Vladimir Shvets,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Dmitriy,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Svetlana Rybalko,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Anastasia Bulchuk,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
RD58,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Maksim,1,0.015384615384615385,0.0,0.007692307692307693,0.0023459480546513256,1,1
Ирина,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Юлия А,1,0.023076923076923078,5.9630292188431724e-05,0.007692307692307693,0.0023459480546513256,1,2
Evgeniya Burdukovskaya,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Екатерина,1,0.015384615384615385,5.9630292188431724e-05,0.007692307692307693,0.0023459480546513256,1,1
Elena Suspitsyna,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Nataliya Ilina,1,0.007692307692307693,0.0,0.007692307692307693,0.0023459480546513256,1,0
Юра Лазарев,3,0.015384615384615385,2.9815146094215862e-05,0.007692307692307693,0.0023459480546513256,1,1
Anya Matveeva,1,0.015384615384615385,0.0,0.007692307692307693,0.0023459480546513256,1,1
Екатерина M,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Ekaterina Shadrova,1,0.0,0.0,0.0,0.0023120643726148044,0,0
