user,messages,degree,betweenness,closeness,pagerank,in_degree,out_degree
Андрей Понизов,3,0.03571428571428571,0.0,0.2863636363636364,0.0029212172617276997,2,1
Danil Koshmar,5,0.03571428571428571,0.0,0.30483870967741933,0.0028746286990949904,1,2
Оксана,3,0.05952380952380952,0.009079173838209982,0.2654494382022472,0.002818728696236131,2,3
Mery,4,0.08333333333333333,0.00015127665730075364,0.315,0.002792816016030515,2,5
Олеся Агеева|Коуч,2,0.023809523809523808,0.0,0.3047619047619048,0.002782929128753971,2,0
Maria,2,0.023809523809523808,0.0,0.25,0.0027646999060093463,1,1
Сергей Флягин,2,0.05952380952380952,0.0,0.28125,0.0027216713022947844,2,3
Svetlana Lavrenticheva,3,0.023809523809523808,0.0,0.2639664804469274,0.0027110033329660393,1,1
Kirill Grigorev,1,0.023809523809523808,0.0,0.2953125,0.002643005529440145,1,1
Anna Grineva,1,0.011904761904761904,0.0,0.29915278995033595,0.002643005529440145,1,0
Олег Чижов,1,0.011904761904761904,0.0,0.29915278995033595,0.002643005529440145,1,0
Ярослав,2,0.03571428571428571,0.0,0.2898773006134969,0.0026302547101011184,1,2
Алина,1,0.023809523809523808,0.0,0.2898773006134969,0.0026302547101011184,1,1
Сергей,1,0.023809523809523808,0.0,0.2596153846153846,0.0026116388739897494,1,1
Дарья Журавлева,6,0.07142857142857142,0.00010518263530311723,0.24481865284974091,0.002607523205460709,2,4
PaulS,1,0.011904761904761904,0.0,0.2754909873553941,0.0025817477029809587,1,0
Andrey,3,0.03571428571428571,0.0,0.24868421052631579,0.002571168870591326,1,2
D F,1,0.023809523809523808,7.171543316121629e-05,0.011904761904761904,0.0023889569308021886,1,1
Daria Smirnova,1,0.011904761904761904,0.0,0.011904761904761904,0.0023889569308021886,1,0
Ирина Васильевна Raccoon,1,0.011904761904761904,0.0,0.011904761904761904,0.0023889569308021886,1,0
Alexey Shalygin,1,0.023809523809523808,4.781028877414419e-05,0.011904761904761904,0.0023889569308021886,1,1
Валерия ฅ^•ﻌ•^ฅ,1,0.023809523809523808,4.781028877414419e-05,0.011904761904761904,0.0023889569308021886,1,1
Михаил Устинов,1,0.0,0.0,0.0,0.0022812315675320967,0,0
Анастасия Афанасьева,1,0.0,0.0,0.0,0.0022812315675320967,0,0
Maks Den,1,0.011904761904761904,0.0,0.0,0.0022812315675320967,0,1
Александр Пронин,1,0.0,0.0,0.0,0.0022812315675320967,0,0
Настя Ахматзянова,1,0.0,0.0,0.0,0.0022812315675320967,0,0
Катя,1,0.011904761904761904,0.0,0.0,0.0022812315675320967,0,1
Карина Барановская,1,0.011904761904761904,0.0,0.0,0.0022812315675320967,0,1
Азат Галинуров,1,0.011904761904761904,0.0,0.0,0.0022812315675320967,0,1
Ой Ёй,4,0.023809523809523808,0.0,0.0,0.0022812315675320967,0,2
Виталий,1,0.0,0.0,0.0,0.0022812315675320967,0,0
Анна Марьясова,1,0.011904761904761904,0.0,0.0,0.0022812315675320967,0,1
𝐕𝐞𝐫𝐫𝐚𝐥𝐝,1,0.0,0.0,0.0,0.0022812315675320967,0,0
Анна Цветкова,1,0.0,0.0,0.0,0.0022812315675320967,0,0
Анастасия,1,0.011904761904761904,0.0,0.0,0.0022812315675320967,0,1
Olga Mankevich,2,0.011904761904761904,0.0,0.0,0.0022812315675320967,0,1
MARKETING ALUMNI PRACTICUM,12,0.15476190476190477,0.0,0.0,0.0022812315675320967,0,13
Артем Е,3,0.011904761904761904,0.0,0.0,0.0022812315675320967,0,1
❤️Анастасия❤️,3,0.023809523809523808,0.0,0.0,0.0022812315675320967,0,2
Ольга Маурина,1,0.0,0.0,0.0,0.0022812315675320967,0,0
